Name,Sex,Team,NOC,Year,City,Sport,Event,Medal,Legendary_Coach,Unnamed: 0,Num_Athletes,Female_Ratio,Num_Sports,Num_Events,Rank,Gold,Silver,Bronze,Total,Total_Events,Total_Discipline,Total_Sports,Is_Host
Annia Hatch,F,United States,USA,2004,Athina,Gymnastics,Gymnastics Women's Team All-Around,Silver,Yes,,,,,,,,,,,,,,
Annia Hatch,F,United States,USA,2004,Athina,Gymnastics,Gymnastics Women's Horse Vault,Silver,Yes,,,,,,,,,,,,,,
Irma (pezzia-),F,United States,USA,1936,Berlin,Gymnastics,Gymnastics Women's Team All-Around,No medal,No,,,,,,,,,,,,,,
Lauren Hernandez,F,United States,USA,2016,Rio de Janeiro,Gymnastics,Gymnastics Women's Team All-Around,Gold,Yes,,,,,,,,,,,,,,
Lauren Hernandez,F,United States,USA,2016,Rio de Janeiro,Gymnastics,Gymnastics Women's Floor Exercise,No medal,Yes,,,,,,,,,,,,,,
Lauren Hernandez,F,United States,USA,2016,Rio de Janeiro,Gymnastics,Gymnastics Women's Balance Beam,Silver,Yes,,,,,,,,,,,,,,
Marie Hoesly,F,United States,USA,1952,Helsinki,Gymnastics,Gymnastics Women's Individual All-Around,No medal,No,,,,,,,,,,,,,,
Marie Hoesly,F,United States,USA,1952,Helsinki,Gymnastics,Gymnastics Women's Team All-Around,No medal,No,,,,,,,,,,,,,,
Marie Hoesly,F,United States,USA,1952,Helsinki,Gymnastics,Gymnastics Women's Team Portable Apparatus,No medal,No,,,,,,,,,,,,,,
Marie Hoesly,F,United States,USA,1952,Helsinki,Gymnastics,Gymnastics Women's Floor Exercise,No medal,No,,,,,,,,,,,,,,
Marie Hoesly,F,United States,USA,1952,Helsinki,Gymnastics,Gymnastics Women's Horse Vault,No medal,No,,,,,,,,,,,,,,
Marie Hoesly,F,United States,USA,1952,Helsinki,Gymnastics,Gymnastics Women's Uneven Bars,No medal,No,,,,,,,,,,,,,,
Marie Hoesly,F,United States,USA,1952,Helsinki,Gymnastics,Gymnastics Women's Balance Beam,No medal,No,,,,,,,,,,,,,,
Doris Howard,F,United States,USA,1976,Montreal,Gymnastics,Gymnastics Women's Individual All-Around,No medal,Yes,,,,,,,,,,,,,,
Doris Howard,F,United States,USA,1976,Montreal,Gymnastics,Gymnastics Women's Team All-Around,No medal,Yes,,,,,,,,,,,,,,
Doris Howard,F,United States,USA,1976,Montreal,Gymnastics,Gymnastics Women's Floor Exercise,No medal,Yes,,,,,,,,,,,,,,
Doris Howard,F,United States,USA,1976,Montreal,Gymnastics,Gymnastics Women's Horse Vault,No medal,Yes,,,,,,,,,,,,,,
Doris Howard,F,United States,USA,1976,Montreal,Gymnastics,Gymnastics Women's Uneven Bars,No medal,Yes,,,,,,,,,,,,,,
Doris Howard,F,United States,USA,1976,Montreal,Gymnastics,Gymnastics Women's Balance Beam,No medal,Yes,,,,,,,,,,,,,,
Judith (hult-),F,United States,USA,1956,Melbourne,Gymnastics,Gymnastics Women's Individual All-Around,No medal,No,,,,,,,,,,,,,,
Judith (hult-),F,United States,USA,1956,Melbourne,Gymnastics,Gymnastics Women's Team All-Around,No medal,No,,,,,,,,,,,,,,
Judith (hult-),F,United States,USA,1956,Melbourne,Gymnastics,Gymnastics Women's Team Portable Apparatus,No medal,No,,,,,,,,,,,,,,
Judith (hult-),F,United States,USA,1956,Melbourne,Gymnastics,Gymnastics Women's Floor Exercise,No medal,No,,,,,,,,,,,,,,
Judith (hult-),F,United States,USA,1956,Melbourne,Gymnastics,Gymnastics Women's Horse Vault,No medal,No,,,,,,,,,,,,,,
Judith (hult-),F,United States,USA,1956,Melbourne,Gymnastics,Gymnastics Women's Uneven Bars,No medal,No,,,,,,,,,,,,,,
Judith (hult-),F,United States,USA,1956,Melbourne,Gymnastics,Gymnastics Women's Balance Beam,No medal,No,,,,,,,,,,,,,,
Terin Humphrey,F,United States,USA,2004,Athina,Gymnastics,Gymnastics Women's Individual All-Around,No medal,Yes,,,,,,,,,,,,,,
Terin Humphrey,F,United States,USA,2004,Athina,Gymnastics,Gymnastics Women's Team All-Around,Silver,Yes,,,,,,,,,,,,,,
Terin Humphrey,F,United States,USA,2004,Athina,Gymnastics,Gymnastics Women's Floor Exercise,No medal,Yes,,,,,,,,,,,,,,
Terin Humphrey,F,United States,USA,2004,Athina,Gymnastics,Gymnastics Women's Uneven Bars,Silver,Yes,,,,,,,,,,,,,,
Terin Humphrey,F,United States,USA,2004,Athina,Gymnastics,Gymnastics Women's Balance Beam,No medal,Yes,,,,,,,,,,,,,,
Brandy (-scharpf),F,United States,USA,1988,Seoul,Gymnastics,Gymnastics Women's Individual All-Around,No medal,No,,,,,,,,,,,,,,
Brandy (-scharpf),F,United States,USA,1988,Seoul,Gymnastics,Gymnastics Women's Team All-Around,No medal,No,,,,,,,,,,,,,,
Brandy (-scharpf),F,United States,USA,1988,Seoul,Gymnastics,Gymnastics Women's Floor Exercise,No medal,No,,,,,,,,,,,,,,
Brandy (-scharpf),F,United States,USA,1988,Seoul,Gymnastics,Gymnastics Women's Horse Vault,No medal,No,,,,,,,,,,,,,,
Brandy (-scharpf),F,United States,USA,1988,Seoul,Gymnastics,Gymnastics Women's Uneven Bars,No medal,No,,,,,,,,,,,,,,
Brandy (-scharpf),F,United States,USA,1988,Seoul,Gymnastics,Gymnastics Women's Balance Beam,No medal,No,,,,,,,,,,,,,,
Kathleen (-clarke),F,United States,USA,1984,Los Angeles,Gymnastics,Gymnastics Women's Individual All-Around,No medal,Yes,,,,,,,,,,,,,,
Kathleen (-clarke),F,United States,USA,1984,Los Angeles,Gymnastics,Gymnastics Women's Team All-Around,Silver,Yes,,,,,,,,,,,,,,
Kathleen (-clarke),F,United States,USA,1984,Los Angeles,Gymnastics,Gymnastics Women's Floor Exercise,No medal,Yes,,,,,,,,,,,,,,
Kathleen (-clarke),F,United States,USA,1984,Los Angeles,Gymnastics,Gymnastics Women's Horse Vault,No medal,Yes,,,,,,,,,,,,,,
Kathleen (-clarke),F,United States,USA,1984,Los Angeles,Gymnastics,Gymnastics Women's Uneven Bars,No medal,Yes,,,,,,,,,,,,,,
Kathleen (-clarke),F,United States,USA,1984,Los Angeles,Gymnastics,Gymnastics Women's Balance Beam,Bronze,Yes,,,,,,,,,,,,,,
Shawn (-east),F,United States,USA,2008,Beijing,Gymnastics,Gymnastics Women's Individual All-Around,Silver,Yes,,,,,,,,,,,,,,
Shawn (-east),F,United States,USA,2008,Beijing,Gymnastics,Gymnastics Women's Team All-Around,Silver,Yes,,,,,,,,,,,,,,
Shawn (-east),F,United States,USA,2008,Beijing,Gymnastics,Gymnastics Women's Floor Exercise,Silver,Yes,,,,,,,,,,,,,,
Shawn (-east),F,United States,USA,2008,Beijing,Gymnastics,Gymnastics Women's Uneven Bars,No medal,Yes,,,,,,,,,,,,,,
Shawn (-east),F,United States,USA,2008,Beijing,Gymnastics,Gymnastics Women's Balance Beam,Gold,Yes,,,,,,,,,,,,,,
Marie (-phillips),F,United States,USA,1936,Berlin,Gymnastics,Gymnastics Women's Team All-Around,No medal,No,,,,,,,,,,,,,,
Doris (-cannon),F,United States,USA,1952,Helsinki,Gymnastics,Gymnastics Women's Individual All-Around,No medal,No,,,,,,,,,,,,,,
Doris (-cannon),F,United States,USA,1952,Helsinki,Gymnastics,Gymnastics Women's Team All-Around,No medal,No,,,,,,,,,,,,,,
Doris (-cannon),F,United States,USA,1952,Helsinki,Gymnastics,Gymnastics Women's Team Portable Apparatus,No medal,No,,,,,,,,,,,,,,
Doris (-cannon),F,United States,USA,1952,Helsinki,Gymnastics,Gymnastics Women's Floor Exercise,No medal,No,,,,,,,,,,,,,,
Doris (-cannon),F,United States,USA,1952,Helsinki,Gymnastics,Gymnastics Women's Horse Vault,No medal,No,,,,,,,,,,,,,,
Doris (-cannon),F,United States,USA,1952,Helsinki,Gymnastics,Gymnastics Women's Uneven Bars,No medal,No,,,,,,,,,,,,,,
Doris (-cannon),F,United States,USA,1952,Helsinki,Gymnastics,Gymnastics Women's Balance Beam,No medal,No,,,,,,,,,,,,,,
Jacquelyn (-fie),F,United States,USA,1956,Melbourne,Gymnastics,Gymnastics Women's Individual All-Around,No medal,No,,,,,,,,,,,,,,
Jacquelyn (-fie),F,United States,USA,1956,Melbourne,Gymnastics,Gymnastics Women's Team All-Around,No medal,No,,,,,,,,,,,,,,
Jacquelyn (-fie),F,United States,USA,1956,Melbourne,Gymnastics,Gymnastics Women's Team Portable Apparatus,No medal,No,,,,,,,,,,,,,,
Jacquelyn (-fie),F,United States,USA,1956,Melbourne,Gymnastics,Gymnastics Women's Floor Exercise,No medal,No,,,,,,,,,,,,,,
Jacquelyn (-fie),F,United States,USA,1956,Melbourne,Gymnastics,Gymnastics Women's Horse Vault,No medal,No,,,,,,,,,,,,,,
Jacquelyn (-fie),F,United States,USA,1956,Melbourne,Gymnastics,Gymnastics Women's Uneven Bars,No medal,No,,,,,,,,,,,,,,
Jacquelyn (-fie),F,United States,USA,1956,Melbourne,Gymnastics,Gymnastics Women's Balance Beam,No medal,No,,,,,,,,,,,,,,
Madison Kocian,F,United States,USA,2016,Rio de Janeiro,Gymnastics,Gymnastics Women's Team All-Around,Gold,Yes,,,,,,,,,,,,,,
Madison Kocian,F,United States,USA,2016,Rio de Janeiro,Gymnastics,Gymnastics Women's Uneven Bars,Silver,Yes,,,,,,,,,,,,,,
Courtney (-carter),F,United States,USA,2004,Athina,Gymnastics,Gymnastics Women's Individual All-Around,No medal,Yes,,,,,,,,,,,,,,
Courtney (-carter),F,United States,USA,2004,Athina,Gymnastics,Gymnastics Women's Team All-Around,Silver,Yes,,,,,,,,,,,,,,
Courtney (-carter),F,United States,USA,2004,Athina,Gymnastics,Gymnastics Women's Floor Exercise,No medal,Yes,,,,,,,,,,,,,,
Courtney (-carter),F,United States,USA,2004,Athina,Gymnastics,Gymnastics Women's Horse Vault,No medal,Yes,,,,,,,,,,,,,,
Courtney (-carter),F,United States,USA,2004,Athina,Gymnastics,Gymnastics Women's Uneven Bars,Bronze,Yes,,,,,,,,,,,,,,
Courtney (-carter),F,United States,USA,2004,Athina,Gymnastics,Gymnastics Women's Balance Beam,No medal,Yes,,,,,,,,,,,,,,
Anastasiya Liukin,F,United States,USA,2008,Beijing,Gymnastics,Gymnastics Women's Individual All-Around,Gold,Yes,,,,,,,,,,,,,,
Anastasiya Liukin,F,United States,USA,2008,Beijing,Gymnastics,Gymnastics Women's Team All-Around,Silver,Yes,,,,,,,,,,,,,,
Anastasiya Liukin,F,United States,USA,2008,Beijing,Gymnastics,Gymnastics Women's Floor Exercise,Bronze,Yes,,,,,,,,,,,,,,
Anastasiya Liukin,F,United States,USA,2008,Beijing,Gymnastics,Gymnastics Women's Uneven Bars,Silver,Yes,,,,,,,,,,,,,,
Anastasiya Liukin,F,United States,USA,2008,Beijing,Gymnastics,Gymnastics Women's Balance Beam,Silver,Yes,,,,,,,,,,,,,,
Ada -hutcheon),F,United States,USA,1936,Berlin,Gymnastics,Gymnastics Women's Team All-Around,No medal,No,,,,,,,,,,,,,,
Kristen Maloney,F,United States,USA,2000,Sydney,Gymnastics,Gymnastics Women's Individual All-Around,No medal,Yes,,,,,,,,,,,,,,
Kristen Maloney,F,United States,USA,2000,Sydney,Gymnastics,Gymnastics Women's Team All-Around,Bronze,Yes,,,,,,,,,,,,,,
Kristen Maloney,F,United States,USA,2000,Sydney,Gymnastics,Gymnastics Women's Floor Exercise,No medal,Yes,,,,,,,,,,,,,,
Kristen Maloney,F,United States,USA,2000,Sydney,Gymnastics,Gymnastics Women's Horse Vault,No medal,Yes,,,,,,,,,,,,,,
Kristen Maloney,F,United States,USA,2000,Sydney,Gymnastics,Gymnastics Women's Uneven Bars,No medal,Yes,,,,,,,,,,,,,,
Kristen Maloney,F,United States,USA,2000,Sydney,Gymnastics,Gymnastics Women's Balance Beam,No medal,Yes,,,,,,,,,,,,,,
Melissa (-clausi),F,United States,USA,1988,Seoul,Gymnastics,Gymnastics Women's Individual All-Around,No medal,No,,,,,,,,,,,,,,
Melissa (-clausi),F,United States,USA,1988,Seoul,Gymnastics,Gymnastics Women's Team All-Around,No medal,No,,,,,,,,,,,,,,
Melissa (-clausi),F,United States,USA,1988,Seoul,Gymnastics,Gymnastics Women's Floor Exercise,No medal,No,,,,,,,,,,,,,,
Melissa (-clausi),F,United States,USA,1988,Seoul,Gymnastics,Gymnastics Women's Horse Vault,No medal,No,,,,,,,,,,,,,,
Melissa (-clausi),F,United States,USA,1988,Seoul,Gymnastics,Gymnastics Women's Uneven Bars,No medal,No,,,,,,,,,,,,,,
Melissa (-clausi),F,United States,USA,1988,Seoul,Gymnastics,Gymnastics Women's Balance Beam,No medal,No,,,,,,,,,,,,,,
McKayla Maroney,F,United States,USA,2012,London,Gymnastics,Gymnastics Women's Team All-Around,Gold,Yes,,,,,,,,,,,,,,
McKayla Maroney,F,United States,USA,2012,London,Gymnastics,Gymnastics Women's Horse Vault,Silver,Yes,,,,,,,,,,,,,,
Elizabeth (-harrington),F,United States,USA,1960,Roma,Gymnastics,Gymnastics Women's Individual All-Around,No medal,No,,,,,,,,,,,,,,
Elizabeth (-harrington),F,United States,USA,1960,Roma,Gymnastics,Gymnastics Women's Team All-Around,No medal,No,,,,,,,,,,,,,,
Elizabeth (-harrington),F,United States,USA,1960,Roma,Gymnastics,Gymnastics Women's Floor Exercise,No medal,No,,,,,,,,,,,,,,
Elizabeth (-harrington),F,United States,USA,1960,Roma,Gymnastics,Gymnastics Women's Horse Vault,No medal,No,,,,,,,,,,,,,,
Elizabeth (-harrington),F,United States,USA,1960,Roma,Gymnastics,Gymnastics Women's Uneven Bars,No medal,No,,,,,,,,,,,,,,
Elizabeth (-harrington),F,United States,USA,1960,Roma,Gymnastics,Gymnastics Women's Balance Beam,No medal,No,,,,,,,,,,,,,,
Dorothy -kephart),F,United States,USA,1964,Tokyo,Gymnastics,Gymnastics Women's Individual All-Around,No medal,No,,,,,,,,,,,,,,
Dorothy -kephart),F,United States,USA,1964,Tokyo,Gymnastics,Gymnastics Women's Team All-Around,No medal,No,,,,,,,,,,,,,,
Dorothy -kephart),F,United States,USA,1964,Tokyo,Gymnastics,Gymnastics Women's Floor Exercise,No medal,No,,,,,,,,,,,,,,
Dorothy -kephart),F,United States,USA,1964,Tokyo,Gymnastics,Gymnastics Women's Horse Vault,No medal,No,,,,,,,,,,,,,,
Dorothy -kephart),F,United States,USA,1964,Tokyo,Gymnastics,Gymnastics Women's Uneven Bars,No medal,No,,,,,,,,,,,,,,
Dorothy -kephart),F,United States,USA,1964,Tokyo,Gymnastics,Gymnastics Women's Balance Beam,No medal,No,,,,,,,,,,,,,,
Courtney Mccool,F,United States,USA,2004,Athina,Gymnastics,Gymnastics Women's Individual All-Around,No medal,Yes,,,,,,,,,,,,,,
Courtney Mccool,F,United States,USA,2004,Athina,Gymnastics,Gymnastics Women's Team All-Around,Silver,Yes,,,,,,,,,,,,,,
Courtney Mccool,F,United States,USA,2004,Athina,Gymnastics,Gymnastics Women's Floor Exercise,No medal,Yes,,,,,,,,,,,,,,
Courtney Mccool,F,United States,USA,2004,Athina,Gymnastics,Gymnastics Women's Horse Vault,No medal,Yes,,,,,,,,,,,,,,
Courtney Mccool,F,United States,USA,2004,Athina,Gymnastics,Gymnastics Women's Uneven Bars,No medal,Yes,,,,,,,,,,,,,,
Courtney Mccool,F,United States,USA,2004,Athina,Gymnastics,Gymnastics Women's Balance Beam,No medal,Yes,,,,,,,,,,,,,,
Julianne (-zeile),F,United States,USA,1984,Los Angeles,Gymnastics,Gymnastics Women's Individual All-Around,No medal,Yes,,,,,,,,,,,,,,
Julianne (-zeile),F,United States,USA,1984,Los Angeles,Gymnastics,Gymnastics Women's Team All-Around,Silver,Yes,,,,,,,,,,,,,,
Julianne (-zeile),F,United States,USA,1984,Los Angeles,Gymnastics,Gymnastics Women's Floor Exercise,Silver,Yes,,,,,,,,,,,,,,
Julianne (-zeile),F,United States,USA,1984,Los Angeles,Gymnastics,Gymnastics Women's Horse Vault,No medal,Yes,,,,,,,,,,,,,,
Julianne (-zeile),F,United States,USA,1984,Los Angeles,Gymnastics,Gymnastics Women's Uneven Bars,Gold,Yes,,,,,,,,,,,,,,
Julianne (-zeile),F,United States,USA,1984,Los Angeles,Gymnastics,Gymnastics Women's Balance Beam,No medal,Yes,,,,,,,,,,,,,,
Chellsie (-maier),F,United States,USA,2008,Beijing,Gymnastics,Gymnastics Women's Individual All-Around,No medal,Yes,,,,,,,,,,,,,,
Chellsie (-maier),F,United States,USA,2008,Beijing,Gymnastics,Gymnastics Women's Team All-Around,Silver,Yes,,,,,,,,,,,,,,
Chellsie (-maier),F,United States,USA,2008,Beijing,Gymnastics,Gymnastics Women's Uneven Bars,No medal,Yes,,,,,,,,,,,,,,
Linda (-mulvihill),F,United States,USA,1964,Tokyo,Gymnastics,Gymnastics Women's Individual All-Around,No medal,No,,,,,,,,,,,,,,
Linda (-mulvihill),F,United States,USA,1964,Tokyo,Gymnastics,Gymnastics Women's Team All-Around,No medal,No,,,,,,,,,,,,,,
Linda (-mulvihill),F,United States,USA,1964,Tokyo,Gymnastics,Gymnastics Women's Floor Exercise,No medal,No,,,,,,,,,,,,,,
Linda (-mulvihill),F,United States,USA,1964,Tokyo,Gymnastics,Gymnastics Women's Horse Vault,No medal,No,,,,,,,,,,,,,,
Linda (-mulvihill),F,United States,USA,1964,Tokyo,Gymnastics,Gymnastics Women's Uneven Bars,No medal,No,,,,,,,,,,,,,,
Linda (-mulvihill),F,United States,USA,1964,Tokyo,Gymnastics,Gymnastics Women's Balance Beam,No medal,No,,,,,,,,,,,,,,
Linda (-mulvihill),F,United States,USA,1968,Mexico City,Gymnastics,Gymnastics Women's Individual All-Around,No medal,No,,,,,,,,,,,,,,
Linda (-mulvihill),F,United States,USA,1968,Mexico City,Gymnastics,Gymnastics Women's Team All-Around,No medal,No,,,,,,,,,,,,,,
Linda (-mulvihill),F,United States,USA,1968,Mexico City,Gymnastics,Gymnastics Women's Floor Exercise,No medal,No,,,,,,,,,,,,,,
Linda (-mulvihill),F,United States,USA,1968,Mexico City,Gymnastics,Gymnastics Women's Horse Vault,No medal,No,,,,,,,,,,,,,,
Linda (-mulvihill),F,United States,USA,1968,Mexico City,Gymnastics,Gymnastics Women's Uneven Bars,No medal,No,,,,,,,,,,,,,,
Linda (-mulvihill),F,United States,USA,1968,Mexico City,Gymnastics,Gymnastics Women's Balance Beam,No medal,No,,,,,,,,,,,,,,
Linda (-mulvihill),F,United States,USA,1972,Munich,Gymnastics,Gymnastics Women's Individual All-Around,No medal,No,,,,,,,,,,,,,,
Linda (-mulvihill),F,United States,USA,1972,Munich,Gymnastics,Gymnastics Women's Team All-Around,No medal,No,,,,,,,,,,,,,,
Linda (-mulvihill),F,United States,USA,1972,Munich,Gymnastics,Gymnastics Women's Floor Exercise,No medal,No,,,,,,,,,,,,,,
Linda (-mulvihill),F,United States,USA,1972,Munich,Gymnastics,Gymnastics Women's Horse Vault,No medal,No,,,,,,,,,,,,,,
Linda (-mulvihill),F,United States,USA,1972,Munich,Gymnastics,Gymnastics Women's Uneven Bars,No medal,No,,,,,,,,,,,,,,
Linda (-mulvihill),F,United States,USA,1972,Munich,Gymnastics,Gymnastics Women's Balance Beam,No medal,No,,,,,,,,,,,,,,
Adelaide Meyer,F,United States,USA,1936,Berlin,Gymnastics,Gymnastics Women's Team All-Around,No medal,No,,,,,,,,,,,,,,
Shannon -falconetti),F,United States,USA,1992,Barcelona,Gymnastics,Gymnastics Women's Individual All-Around,Silver,No,,,,,,,,,,,,,,
Shannon -falconetti),F,United States,USA,1992,Barcelona,Gymnastics,Gymnastics Women's Team All-Around,Bronze,No,,,,,,,,,,,,,,
Shannon -falconetti),F,United States,USA,1992,Barcelona,Gymnastics,Gymnastics Women's Floor Exercise,Bronze,No,,,,,,,,,,,,,,
Shannon -falconetti),F,United States,USA,1992,Barcelona,Gymnastics,Gymnastics Women's Horse Vault,No medal,No,,,,,,,,,,,,,,
Shannon -falconetti),F,United States,USA,1992,Barcelona,Gymnastics,Gymnastics Women's Uneven Bars,Bronze,No,,,,,,,,,,,,,,
Shannon -falconetti),F,United States,USA,1992,Barcelona,Gymnastics,Gymnastics Women's Balance Beam,Silver,No,,,,,,,,,,,,,,
Shannon -falconetti),F,United States,USA,1996,Atlanta,Gymnastics,Gymnastics Women's Individual All-Around,No medal,Yes,,,,,,,,,,,,,,
Shannon -falconetti),F,United States,USA,1996,Atlanta,Gymnastics,Gymnastics Women's Team All-Around,Gold,Yes,,,,,,,,,,,,,,
Shannon -falconetti),F,United States,USA,1996,Atlanta,Gymnastics,Gymnastics Women's Floor Exercise,No medal,Yes,,,,,,,,,,,,,,
Shannon -falconetti),F,United States,USA,1996,Atlanta,Gymnastics,Gymnastics Women's Horse Vault,No medal,Yes,,,,,,,,,,,,,,
Shannon -falconetti),F,United States,USA,1996,Atlanta,Gymnastics,Gymnastics Women's Uneven Bars,No medal,Yes,,,,,,,,,,,,,,
Shannon -falconetti),F,United States,USA,1996,Atlanta,Gymnastics,Gymnastics Women's Balance Beam,Gold,Yes,,,,,,,,,,,,,,
Phoebe Mills,F,United States,USA,1988,Seoul,Gymnastics,Gymnastics Women's Individual All-Around,No medal,No,,,,,,,,,,,,,,
Phoebe Mills,F,United States,USA,1988,Seoul,Gymnastics,Gymnastics Women's Team All-Around,No medal,No,,,,,,,,,,,,,,
Phoebe Mills,F,United States,USA,1988,Seoul,Gymnastics,Gymnastics Women's Floor Exercise,No medal,No,,,,,,,,,,,,,,
Phoebe Mills,F,United States,USA,1988,Seoul,Gymnastics,Gymnastics Women's Horse Vault,No medal,No,,,,,,,,,,,,,,
Phoebe Mills,F,United States,USA,1988,Seoul,Gymnastics,Gymnastics Women's Uneven Bars,No medal,No,,,,,,,,,,,,,,
Phoebe Mills,F,United States,USA,1988,Seoul,Gymnastics,Gymnastics Women's Balance Beam,Bronze,No,,,,,,,,,,,,,,
Dominique (-canales),F,United States,USA,1996,Atlanta,Gymnastics,Gymnastics Women's Individual All-Around,No medal,Yes,,,,,,,,,,,,,,
Dominique (-canales),F,United States,USA,1996,Atlanta,Gymnastics,Gymnastics Women's Team All-Around,Gold,Yes,,,,,,,,,,,,,,
Dominique (-canales),F,United States,USA,1996,Atlanta,Gymnastics,Gymnastics Women's Floor Exercise,No medal,Yes,,,,,,,,,,,,,,
Dominique (-canales),F,United States,USA,1996,Atlanta,Gymnastics,Gymnastics Women's Horse Vault,No medal,Yes,,,,,,,,,,,,,,
Dominique (-canales),F,United States,USA,1996,Atlanta,Gymnastics,Gymnastics Women's Uneven Bars,No medal,Yes,,,,,,,,,,,,,,
Dominique (-canales),F,United States,USA,1996,Atlanta,Gymnastics,Gymnastics Women's Balance Beam,No medal,Yes,,,,,,,,,,,,,,
Teresa (-miller),F,United States,USA,1960,Roma,Gymnastics,Gymnastics Women's Individual All-Around,No medal,No,,,,,,,,,,,,,,
Teresa (-miller),F,United States,USA,1960,Roma,Gymnastics,Gymnastics Women's Team All-Around,No medal,No,,,,,,,,,,,,,,
Teresa (-miller),F,United States,USA,1960,Roma,Gymnastics,Gymnastics Women's Floor Exercise,No medal,No,,,,,,,,,,,,,,
Teresa (-miller),F,United States,USA,1960,Roma,Gymnastics,Gymnastics Women's Horse Vault,No medal,No,,,,,,,,,,,,,,
Teresa (-miller),F,United States,USA,1960,Roma,Gymnastics,Gymnastics Women's Uneven Bars,No medal,No,,,,,,,,,,,,,,
Teresa (-miller),F,United States,USA,1960,Roma,Gymnastics,Gymnastics Women's Balance Beam,No medal,No,,,,,,,,,,,,,,
Joan -gnat),F,United States,USA,1972,Munich,Gymnastics,Gymnastics Women's Individual All-Around,No medal,No,,,,,,,,,,,,,,
Joan -gnat),F,United States,USA,1972,Munich,Gymnastics,Gymnastics Women's Team All-Around,No medal,No,,,,,,,,,,,,,,
Joan -gnat),F,United States,USA,1972,Munich,Gymnastics,Gymnastics Women's Floor Exercise,No medal,No,,,,,,,,,,,,,,
Joan -gnat),F,United States,USA,1972,Munich,Gymnastics,Gymnastics Women's Horse Vault,No medal,No,,,,,,,,,,,,,,
Joan -gnat),F,United States,USA,1972,Munich,Gymnastics,Gymnastics Women's Uneven Bars,No medal,No,,,,,,,,,,,,,,
Joan -gnat),F,United States,USA,1972,Munich,Gymnastics,Gymnastics Women's Balance Beam,No medal,No,,,,,,,,,,,,,,
Colleen Mulvihill,F,United States,USA,1968,Mexico City,Gymnastics,Gymnastics Women's Individual All-Around,No medal,No,,,,,,,,,,,,,,
Colleen Mulvihill,F,United States,USA,1968,Mexico City,Gymnastics,Gymnastics Women's Team All-Around,No medal,No,,,,,,,,,,,,,,
Colleen Mulvihill,F,United States,USA,1968,Mexico City,Gymnastics,Gymnastics Women's Floor Exercise,No medal,No,,,,,,,,,,,,,,
Colleen Mulvihill,F,United States,USA,1968,Mexico City,Gymnastics,Gymnastics Women's Horse Vault,No medal,No,,,,,,,,,,,,,,
Colleen Mulvihill,F,United States,USA,1968,Mexico City,Gymnastics,Gymnastics Women's Uneven Bars,No medal,No,,,,,,,,,,,,,,
Colleen Mulvihill,F,United States,USA,1968,Mexico City,Gymnastics,Gymnastics Women's Balance Beam,No medal,No,,,,,,,,,,,,,,
Elizabeth Okino,F,United States,USA,1992,Barcelona,Gymnastics,Gymnastics Women's Individual All-Around,No medal,No,,,,,,,,,,,,,,
Elizabeth Okino,F,United States,USA,1992,Barcelona,Gymnastics,Gymnastics Women's Team All-Around,Bronze,No,,,,,,,,,,,,,,
Elizabeth Okino,F,United States,USA,1992,Barcelona,Gymnastics,Gymnastics Women's Floor Exercise,No medal,No,,,,,,,,,,,,,,
Elizabeth Okino,F,United States,USA,1992,Barcelona,Gymnastics,Gymnastics Women's Horse Vault,No medal,No,,,,,,,,,,,,,,
Elizabeth Okino,F,United States,USA,1992,Barcelona,Gymnastics,Gymnastics Women's Uneven Bars,No medal,No,,,,,,,,,,,,,,
Elizabeth Okino,F,United States,USA,1992,Barcelona,Gymnastics,Gymnastics Women's Balance Beam,No medal,No,,,,,,,,,,,,,,
Carly (-caldwell),F,United States,USA,2004,Athina,Gymnastics,Gymnastics Women's Individual All-Around,Gold,Yes,,,,,,,,,,,,,,
Carly (-caldwell),F,United States,USA,2004,Athina,Gymnastics,Gymnastics Women's Team All-Around,Silver,Yes,,,,,,,,,,,,,,
Carly (-caldwell),F,United States,USA,2004,Athina,Gymnastics,Gymnastics Women's Floor Exercise,No medal,Yes,,,,,,,,,,,,,,
Carly (-caldwell),F,United States,USA,2004,Athina,Gymnastics,Gymnastics Women's Horse Vault,No medal,Yes,,,,,,,,,,,,,,
Carly (-caldwell),F,United States,USA,2004,Athina,Gymnastics,Gymnastics Women's Uneven Bars,No medal,Yes,,,,,,,,,,,,,,
Carly (-caldwell),F,United States,USA,2004,Athina,Gymnastics,Gymnastics Women's Balance Beam,Silver,Yes,,,,,,,,,,,,,,
Samantha Peszek,F,United States,USA,2008,Beijing,Gymnastics,Gymnastics Women's Individual All-Around,No medal,Yes,,,,,,,,,,,,,,
Samantha Peszek,F,United States,USA,2008,Beijing,Gymnastics,Gymnastics Women's Team All-Around,Silver,Yes,,,,,,,,,,,,,,
Samantha Peszek,F,United States,USA,2008,Beijing,Gymnastics,Gymnastics Women's Uneven Bars,No medal,Yes,,,,,,,,,,,,,,
Jaycie -marus),F,United States,USA,1996,Atlanta,Gymnastics,Gymnastics Women's Individual All-Around,No medal,Yes,,,,,,,,,,,,,,
Jaycie -marus),F,United States,USA,1996,Atlanta,Gymnastics,Gymnastics Women's Team All-Around,Gold,Yes,,,,,,,,,,,,,,
