index,Year,Total,Gold,Silver,Bronze,No medal,Sport,NOC,Sex
4,2012,4,0,4,0,3,Canoeing,BLR,M
0,1964,0,0,0,0,1,Canoeing,BOL,M
1,1968,0,0,0,0,1,Canoeing,BOL,M
0,2008,0,0,0,0,1,Canoeing,BRA,F
1,2012,0,0,0,0,1,Canoeing,BRA,F
2,2016,0,0,0,0,3,Canoeing,BRA,F
0,1992,0,0,0,0,9,Canoeing,BRA,M
1,1996,0,0,0,0,4,Canoeing,BRA,M
2,2000,0,0,0,0,7,Canoeing,BRA,M
3,2004,0,0,0,0,4,Canoeing,BRA,M
4,2008,0,0,0,0,2,Canoeing,BRA,M
5,2012,0,0,0,0,3,Canoeing,BRA,M
6,2016,4,0,3,1,11,Canoeing,BRA,M
0,1964,0,0,0,0,1,Canoeing,BUL,F
1,1972,0,0,0,0,3,Canoeing,BUL,F
2,1976,0,0,0,0,3,Canoeing,BUL,F
3,1980,1,0,1,0,2,Canoeing,BUL,F
4,1988,7,1,2,4,0,Canoeing,BUL,F
5,1992,0,0,0,0,6,Canoeing,BUL,F
6,1996,0,0,0,0,2,Canoeing,BUL,F
7,2004,0,0,0,0,2,Canoeing,BUL,F
0,1960,0,0,0,0,5,Canoeing,BUL,M
1,1964,0,0,0,0,1,Canoeing,BUL,M
2,1968,0,0,0,0,3,Canoeing,BUL,M
3,1972,2,0,0,2,4,Canoeing,BUL,M
4,1976,0,0,0,0,15,Canoeing,BUL,M
5,1980,8,1,1,6,2,Canoeing,BUL,M
6,1988,2,0,0,2,8,Canoeing,BUL,M
7,1992,4,2,0,2,8,Canoeing,BUL,M
8,1996,2,0,0,2,13,Canoeing,BUL,M
9,2000,2,0,2,0,10,Canoeing,BUL,M
10,2004,0,0,0,0,9,Canoeing,BUL,M
11,2008,0,0,0,0,4,Canoeing,BUL,M
12,2012,0,0,0,0,1,Canoeing,BUL,M
13,2016,0,0,0,0,3,Canoeing,BUL,M
0,1968,0,0,0,0,3,Canoeing,CAN,F
1,1972,0,0,0,0,3,Canoeing,CAN,F
2,1976,0,0,0,0,3,Canoeing,CAN,F
3,1984,6,0,2,4,1,Canoeing,CAN,F
4,1988,0,0,0,0,7,Canoeing,CAN,F
5,1992,0,0,0,0,10,Canoeing,CAN,F
6,1996,1,0,1,0,8,Canoeing,CAN,F
7,2000,1,0,1,0,7,Canoeing,CAN,F
8,2004,1,0,0,1,7,Canoeing,CAN,F
9,2008,0,0,0,0,8,Canoeing,CAN,F
10,2012,0,0,0,0,2,Canoeing,CAN,F
11,2016,0,0,0,0,8,Canoeing,CAN,F
0,1936,5,1,2,2,8,Canoeing,CAN,M
1,1948,2,0,1,1,8,Canoeing,CAN,M
2,1952,2,0,2,0,9,Canoeing,CAN,M
3,1956,0,0,0,0,10,Canoeing,CAN,M
4,1960,0,0,0,0,6,Canoeing,CAN,M
5,1964,0,0,0,0,6,Canoeing,CAN,M
6,1968,0,0,0,0,10,Canoeing,CAN,M
7,1972,0,0,0,0,14,Canoeing,CAN,M
8,1976,1,0,1,0,15,Canoeing,CAN,M
9,1984,6,3,1,2,10,Canoeing,CAN,M
10,1988,0,0,0,0,16,Canoeing,CAN,M
11,1992,0,0,0,0,17,Canoeing,CAN,M
12,1996,0,0,0,0,16,Canoeing,CAN,M
13,2000,1,0,0,1,11,Canoeing,CAN,M
14,2004,2,1,0,1,14,Canoeing,CAN,M
15,2008,2,0,1,1,16,Canoeing,CAN,M
16,2012,3,0,1,2,6,Canoeing,CAN,M
17,2016,0,0,0,0,8,Canoeing,CAN,M
0,2004,0,0,0,0,1,Canoeing,CHI,M
1,2008,0,0,0,0,1,Canoeing,CHI,M
0,1992,0,0,0,0,6,Canoeing,CHN,F
1,1996,0,0,0,0,7,Canoeing,CHN,F
2,2004,0,0,0,0,8,Canoeing,CHN,F
3,2008,0,0,0,0,8,Canoeing,CHN,F
4,2012,0,0,0,0,8,Canoeing,CHN,F
5,2016,0,0,0,0,9,Canoeing,CHN,F
0,1984,0,0,0,0,4,Canoeing,CHN,M
1,1988,0,0,0,0,8,Canoeing,CHN,M
2,1996,0,0,0,0,4,Canoeing,CHN,M
3,2004,2,2,0,0,12,Canoeing,CHN,M
4,2008,2,2,0,0,17,Canoeing,CHN,M
5,2012,0,0,0,0,13,Canoeing,CHN,M
6,2016,0,0,0,0,3,Canoeing,CHN,M
0,1968,0,0,0,0,3,Canoeing,CIV,M
1,1972,0,0,0,0,5,Canoeing,CIV,M
2,1984,0,0,0,0,4,Canoeing,CIV,M
3,1988,0,0,0,0,2,Canoeing,CIV,M
4,1992,0,0,0,0,2,Canoeing,CIV,M
5,1996,0,0,0,0,2,Canoeing,CIV,M
6,2008,0,0,0,0,2,Canoeing,CIV,M
0,2012,0,0,0,0,1,Canoeing,COK,F
1,2016,0,0,0,0,1,Canoeing,COK,F
0,2012,0,0,0,0,2,Canoeing,COK,M
1,2016,0,0,0,0,1,Canoeing,COK,M
0,1992,0,0,0,0,1,Canoeing,CRC,F
1,1996,0,0,0,0,1,Canoeing,CRC,F
0,1992,0,0,0,0,3,Canoeing,CRC,M
1,1996,0,0,0,0,1,Canoeing,CRC,M
0,1992,0,0,0,0,5,Canoeing,CRO,M
1,1996,0,0,0,0,8,Canoeing,CRO,M
2,2000,0,0,0,0,5,Canoeing,CRO,M
3,2004,0,0,0,0,4,Canoeing,CRO,M
4,2008,0,0,0,0,3,Canoeing,CRO,M
5,2012,0,0,0,0,1,Canoeing,CRO,M
0,2012,0,0,0,0,4,Canoeing,CUB,F
1,2016,0,0,0,0,2,Canoeing,CUB,F
0,1972,0,0,0,0,3,Canoeing,CUB,M
1,1980,0,0,0,0,6,Canoeing,CUB,M
2,1992,0,0,0,0,9,Canoeing,CUB,M
3,2000,3,0,3,0,3,Canoeing,CUB,M
4,2004,2,0,2,0,4,Canoeing,CUB,M
5,2008,0,0,0,0,8,Canoeing,CUB,M
6,2012,0,0,0,0,3,Canoeing,CUB,M
7,2016,0,0,0,0,5,Canoeing,CUB,M
0,1996,1,1,0,0,9,Canoeing,CZE,F
1,2000,1,1,0,0,1,Canoeing,CZE,F
2,2004,0,0,0,0,3,Canoeing,CZE,F
3,2008,0,0,0,0,3,Canoeing,CZE,F
4,2012,0,0,0,0,1,Canoeing,CZE,F
5,2016,0,0,0,0,1,Canoeing,CZE,F
0,1996,5,2,3,0,17,Canoeing,CZE,M
1,2000,2,0,0,2,21,Canoeing,CZE,M
2,2004,2,0,0,2,6,Canoeing,CZE,M
3,2008,2,0,2,0,2,Canoeing,CZE,M
4,2012,5,0,1,4,7,Canoeing,CZE,M
5,2016,6,0,1,5,10,Canoeing,CZE,M
0,1948,1,1,0,0,0,Canoeing,DEN,F
1,1952,0,0,0,0,1,Canoeing,DEN,F
2,1956,1,0,0,1,0,Canoeing,DEN,F
3,1960,0,0,0,0,3,Canoeing,DEN,F
4,1964,0,0,0,0,3,Canoeing,DEN,F
5,1972,0,0,0,0,1,Canoeing,DEN,F
6,1976,0,0,0,0,1,Canoeing,DEN,F
7,1988,0,0,0,0,7,Canoeing,DEN,F
8,1992,0,0,0,0,3,Canoeing,DEN,F
9,2008,0,0,0,0,1,Canoeing,DEN,F
10,2012,0,0,0,0,2,Canoeing,DEN,F
11,2016,1,0,1,0,7,Canoeing,DEN,F
0,1936,0,0,0,0,6,Canoeing,DEN,M
1,1948,3,0,3,0,3,Canoeing,DEN,M
2,1952,2,2,0,0,6,Canoeing,DEN,M
3,1956,0,0,0,0,6,Canoeing,DEN,M
4,1960,5,1,0,4,3,Canoeing,DEN,M
5,1964,2,0,0,2,3,Canoeing,DEN,M
6,1968,1,0,0,1,4,Canoeing,DEN,M
7,1972,0,0,0,0,5,Canoeing,DEN,M
8,1980,0,0,0,0,1,Canoeing,DEN,M
9,1984,2,0,1,1,0,Canoeing,DEN,M
10,1988,0,0,0,0,4,Canoeing,DEN,M
11,1992,2,0,2,0,5,Canoeing,DEN,M
12,1996,0,0,0,0,6,Canoeing,DEN,M
13,2000,0,0,0,0,5,Canoeing,DEN,M
14,2004,0,0,0,0,4,Canoeing,DEN,M
15,2008,2,0,2,0,3,Canoeing,DEN,M
16,2012,0,0,0,0,8,Canoeing,DEN,M
17,2016,0,0,0,0,1,Canoeing,DEN,M
0,2012,0,0,0,0,1,Canoeing,ECU,M
1,2016,0,0,0,0,1,Canoeing,ECU,M
0,2016,0,0,0,0,1,Canoeing,EGY,F
0,2012,0,0,0,0,2,Canoeing,EGY,M
1,2016,0,0,0,0,1,Canoeing,EGY,M
0,1992,0,0,0,0,9,Canoeing,ESP,F
1,1996,0,0,0,0,9,Canoeing,ESP,F
2,2000,0,0,0,0,8,Canoeing,ESP,F
3,2004,0,0,0,0,6,Canoeing,ESP,F
4,2008,0,0,0,0,8,Canoeing,ESP,F
5,2012,1,0,0,1,1,Canoeing,ESP,F
6,2016,1,1,0,0,1,Canoeing,ESP,F
0,1960,0,0,0,0,3,Canoeing,ESP,M
1,1968,0,0,0,0,5,Canoeing,ESP,M
2,1972,0,0,0,0,6,Canoeing,ESP,M
3,1976,4,0,4,0,6,Canoeing,ESP,M
4,1980,4,0,2,2,5,Canoeing,ESP,M
5,1984,2,0,0,2,14,Canoeing,ESP,M
6,1988,0,0,0,0,14,Canoeing,ESP,M
7,1992,0,0,0,0,18,Canoeing,ESP,M
8,1996,0,0,0,0,19,Canoeing,ESP,M
9,2000,0,0,0,0,13,Canoeing,ESP,M
10,2004,2,1,1,0,11,Canoeing,ESP,M
11,2008,4,2,2,0,2,Canoeing,ESP,M
12,2012,2,0,2,0,4,Canoeing,ESP,M
13,2016,4,3,0,1,6,Canoeing,ESP,M
0,1992,0,0,0,0,2,Canoeing,EST,M
1,1996,0,0,0,0,2,Canoeing,EST,M
2,2000,0,0,0,0,2,Canoeing,EST,M
0,1992,0,0,0,0,7,Canoeing,EUN,F
0,1992,3,2,1,0,13,Canoeing,EUN,M
0,1948,0,0,0,0,1,Canoeing,FIN,F
1,1952,1,1,0,0,0,Canoeing,FIN,F
2,1956,0,0,0,0,1,Canoeing,FIN,F
3,1960,0,0,0,0,1,Canoeing,FIN,F
4,2004,0,0,0,0,1,Canoeing,FIN,F
5,2008,0,0,0,0,3,Canoeing,FIN,F
6,2012,0,0,0,0,2,Canoeing,FIN,F
0,1936,0,0,0,0,3,Canoeing,FIN,M
1,1948,5,0,1,4,1,Canoeing,FIN,M
2,1952,7,5,1,1,5,Canoeing,FIN,M
3,1956,0,0,0,0,6,Canoeing,FIN,M
4,1960,0,0,0,0,8,Canoeing,FIN,M
5,1964,0,0,0,0,3,Canoeing,FIN,M
6,1968,0,0,0,0,5,Canoeing,FIN,M
7,1972,0,0,0,0,5,Canoeing,FIN,M
8,1976,0,0,0,0,9,Canoeing,FIN,M
9,1980,0,0,0,0,7,Canoeing,FIN,M
10,1984,0,0,0,0,9,Canoeing,FIN,M
11,1988,0,0,0,0,6,Canoeing,FIN,M
12,1992,1,1,0,0,2,Canoeing,FIN,M
13,1996,0,0,0,0,2,Canoeing,FIN,M
14,2000,0,0,0,0,1,Canoeing,FIN,M
15,2004,0,0,0,0,1,Canoeing,FIN,M
16,2008,0,0,0,0,4,Canoeing,FIN,M
0,1948,0,0,0,0,1,Canoeing,FRA,F
1,1952,0,0,0,0,1,Canoeing,FRA,F
2,1956,0,0,0,0,1,Canoeing,FRA,F
3,1960,0,0,0,0,1,Canoeing,FRA,F
4,1972,0,0,0,0,1,Canoeing,FRA,F
5,1976,0,0,0,0,3,Canoeing,FRA,F
6,1980,0,0,0,0,3,Canoeing,FRA,F
7,1984,0,0,0,0,3,Canoeing,FRA,F
8,1988,0,0,0,0,4,Canoeing,FRA,F
9,1992,0,0,0,0,10,Canoeing,FRA,F
10,1996,1,0,0,1,4,Canoeing,FRA,F
11,2000,2,0,1,1,0,Canoeing,FRA,F
12,2004,0,0,0,0,4,Canoeing,FRA,F
13,2008,2,0,0,2,1,Canoeing,FRA,F
14,2012,1,1,0,0,4,Canoeing,FRA,F
15,2016,0,0,0,0,6,Canoeing,FRA,F
0,1936,1,0,1,0,4,Canoeing,FRA,M
1,1948,6,0,0,6,6,Canoeing,FRA,M
2,1952,3,2,0,1,9,Canoeing,FRA,M
3,1956,2,0,2,0,7,Canoeing,FRA,M
4,1960,0,0,0,0,8,Canoeing,FRA,M
5,1964,2,0,2,0,0,Canoeing,FRA,M
6,1968,0,0,0,0,6,Canoeing,FRA,M
7,1972,2,0,0,2,11,Canoeing,FRA,M
8,1976,0,0,0,0,12,Canoeing,FRA,M
9,1980,1,0,1,0,9,Canoeing,FRA,M
10,1984,9,0,2,7,7,Canoeing,FRA,M
11,1988,2,0,0,2,11,Canoeing,FRA,M
12,1992,6,0,1,5,20,Canoeing,FRA,M
13,1996,3,2,0,1,11,Canoeing,FRA,M
14,2000,1,1,0,0,15,Canoeing,FRA,M
15,2004,3,2,0,1,9,Canoeing,FRA,M
16,2008,1,0,1,0,14,Canoeing,FRA,M
17,2012,1,1,0,0,9,Canoeing,FRA,M
18,2016,4,1,1,2,12,Canoeing,FRA,M
0,1968,3,2,1,0,0,Canoeing,FRG,F
1,1972,2,0,1,1,4,Canoeing,FRG,F
2,1976,0,0,0,0,3,Canoeing,FRG,F
3,1984,3,0,1,2,4,Canoeing,FRG,F
4,1988,0,0,0,0,7,Canoeing,FRG,F
0,1968,1,0,1,0,9,Canoeing,FRG,M
1,1972,4,0,3,1,18,Canoeing,FRG,M
2,1976,0,0,0,0,16,Canoeing,FRG,M
3,1984,1,1,0,0,15,Canoeing,FRG,M
4,1988,0,0,0,0,14,Canoeing,FRG,M
0,1948,0,0,0,0,1,Canoeing,GBR,F
1,1952,0,0,0,0,1,Canoeing,GBR,F
2,1956,0,0,0,0,1,Canoeing,GBR,F
3,1960,0,0,0,0,1,Canoeing,GBR,F
4,1964,0,0,0,0,1,Canoeing,GBR,F
5,1968,0,0,0,0,3,Canoeing,GBR,F
6,1972,0,0,0,0,6,Canoeing,GBR,F
7,1976,0,0,0,0,3,Canoeing,GBR,F
8,1980,0,0,0,0,3,Canoeing,GBR,F
9,1984,0,0,0,0,7,Canoeing,GBR,F
10,1988,0,0,0,0,7,Canoeing,GBR,F
11,1992,0,0,0,0,8,Canoeing,GBR,F
12,1996,0,0,0,0,5,Canoeing,GBR,F
13,2000,0,0,0,0,2,Canoeing,GBR,F
14,2004,1,0,0,1,1,Canoeing,GBR,F
15,2008,0,0,0,0,4,Canoeing,GBR,F
16,2012,0,0,0,0,9,Canoeing,GBR,F
17,2016,0,0,0,0,9,Canoeing,GBR,F
0,1936,0,0,0,0,3,Canoeing,GBR,M
1,1948,0,0,0,0,6,Canoeing,GBR,M
2,1952,0,0,0,0,8,Canoeing,GBR,M
3,1956,0,0,0,0,4,Canoeing,GBR,M
4,1960,0,0,0,0,7,Canoeing,GBR,M
5,1964,0,0,0,0,5,Canoeing,GBR,M
6,1968,0,0,0,0,7,Canoeing,GBR,M
7,1972,0,0,0,0,17,Canoeing,GBR,M
8,1976,0,0,0,0,9,Canoeing,GBR,M
9,1980,0,0,0,0,12,Canoeing,GBR,M
10,1984,0,0,0,0,16,Canoeing,GBR,M
11,1988,0,0,0,0,16,Canoeing,GBR,M
12,1992,1,0,1,0,18,Canoeing,GBR,M
13,1996,0,0,0,0,15,Canoeing,GBR,M
14,2000,2,0,1,1,12,Canoeing,GBR,M
15,2004,2,0,1,1,6,Canoeing,GBR,M
16,2008,3,1,1,1,1,Canoeing,GBR,M
17,2012,7,3,2,2,5,Canoeing,GBR,M
18,2016,6,2,4,0,1,Canoeing,GBR,M
0,1968,0,0,0,0,3,Canoeing,GDR,F
1,1972,3,1,2,0,3,Canoeing,GDR,F
2,1976,3,1,0,2,0,Canoeing,GDR,F
3,1980,3,3,0,0,0,Canoeing,GDR,F
4,1988,7,6,1,0,0,Canoeing,GDR,F
0,1968,0,0,0,0,9,Canoeing,GDR,M
1,1972,5,4,0,1,17,Canoeing,GDR,M
2,1976,10,3,2,5,6,Canoeing,GDR,M
3,1980,11,5,2,4,3,Canoeing,GDR,M
4,1988,10,1,4,5,6,Canoeing,GDR,M
0,2016,0,0,0,0,1,Canoeing,GEO,M
0,1952,0,0,0,0,1,Canoeing,GER,F
1,1956,1,0,1,0,0,Canoeing,GER,F
2,1960,3,0,3,0,0,Canoeing,GER,F
3,1964,2,2,0,0,1,Canoeing,GER,F
4,1992,8,4,4,0,2,Canoeing,GER,F
5,1996,6,4,2,0,3,Canoeing,GER,F
6,2000,6,6,0,0,3,Canoeing,GER,F
7,2004,6,4,2,0,3,Canoeing,GER,F
8,2008,5,4,0,1,3,Canoeing,GER,F
9,2012,6,2,4,0,3,Canoeing,GER,F
10,2016,6,0,6,0,3,Canoeing,GER,F
0,1936,10,3,5,2,4,Canoeing,GER,M
1,1952,5,0,0,5,7,Canoeing,GER,M
2,1956,5,2,2,1,7,Canoeing,GER,M
3,1960,4,4,0,0,6,Canoeing,GER,M
4,1964,7,1,4,2,3,Canoeing,GER,M
5,1992,14,10,2,2,12,Canoeing,GER,M
6,1996,14,9,2,3,12,Canoeing,GER,M
7,2000,11,2,4,5,10,Canoeing,GER,M
8,2004,13,5,7,1,10,Canoeing,GER,M
9,2008,13,3,4,6,7,Canoeing,GER,M
10,2012,8,3,1,4,10,Canoeing,GER,M
11,2016,10,9,0,1,8,Canoeing,GER,M
0,2004,0,0,0,0,2,Canoeing,GRE,F
1,2008,0,0,0,0,1,Canoeing,GRE,F
0,2000,0,0,0,0,2,Canoeing,GRE,M
1,2004,0,0,0,0,6,Canoeing,GRE,M
2,2008,0,0,0,0,3,Canoeing,GRE,M
3,2012,0,0,0,0,1,Canoeing,GRE,M
0,1996,0,0,0,0,1,Canoeing,GUA,M
0,2008,0,0,0,0,2,Canoeing,GUM,M
0,1984,0,0,0,0,3,Canoeing,HKG,F
0,1976,0,0,0,0,10,Canoeing,HKG,M
1,1984,0,0,0,0,8,Canoeing,HKG,M
2,1988,0,0,0,0,2,Canoeing,HKG,M
3,1992,0,0,0,0,4,Canoeing,HKG,M
0,1948,0,0,0,0,1,Canoeing,HUN,F
1,1952,0,0,0,0,1,Canoeing,HUN,F
2,1956,0,0,0,0,1,Canoeing,HUN,F
3,1960,2,0,0,2,1,Canoeing,HUN,F
4,1964,0,0,0,0,3,Canoeing,HUN,F
5,1968,2,0,2,0,1,Canoeing,HUN,F
6,1972,1,0,0,1,2,Canoeing,HUN,F
7,1976,3,0,2,1,0,Canoeing,HUN,F
8,1980,2,0,0,2,1,Canoeing,HUN,F
9,1988,4,0,4,0,3,Canoeing,HUN,F
10,1992,7,4,1,2,0,Canoeing,HUN,F
11,1996,1,1,0,0,6,Canoeing,HUN,F
12,2000,6,0,6,0,1,Canoeing,HUN,F
13,2004,7,3,4,0,0,Canoeing,HUN,F
14,2008,6,2,4,0,1,Canoeing,HUN,F
15,2012,8,5,2,1,0,Canoeing,HUN,F
16,2016,7,7,0,0,1,Canoeing,HUN,F
0,1936,0,0,0,0,8,Canoeing,HUN,M
1,1948,0,0,0,0,5,Canoeing,HUN,M
2,1952,4,0,2,2,7,Canoeing,HUN,M
3,1956,10,2,3,5,2,Canoeing,HUN,M
4,1960,10,1,7,2,0,Canoeing,HUN,M
5,1964,1,0,1,0,9,Canoeing,HUN,M
6,1968,10,2,4,4,0,Canoeing,HUN,M
7,1972,4,0,3,1,6,Canoeing,HUN,M
8,1976,9,0,2,7,7,Canoeing,HUN,M
9,1980,4,2,2,0,12,Canoeing,HUN,M
10,1988,7,5,0,2,9,Canoeing,HUN,M
11,1992,6,0,5,1,10,Canoeing,HUN,M
12,1996,10,2,4,4,6,Canoeing,HUN,M
13,2000,11,9,0,2,5,Canoeing,HUN,M
14,2004,7,4,0,3,9,Canoeing,HUN,M
15,2008,3,1,0,2,13,Canoeing,HUN,M
16,2012,6,2,4,0,3,Canoeing,HUN,M
17,2016,0,0,0,0,14,Canoeing,HUN,M
0,2004,0,0,0,0,1,Canoeing,INA,F
0,1992,0,0,0,0,6,Canoeing,INA,M
0,1992,0,0,0,0,7,Canoeing,IOA,M
0,2012,0,0,0,0,2,Canoeing,IRI,F
0,2000,0,0,0,0,2,Canoeing,IRI,M
1,2012,0,0,0,0,1,Canoeing,IRI,M
2,2016,0,0,0,0,1,Canoeing,IRI,M
0,1972,0,0,0,0,1,Canoeing,IRL,F
1,2000,0,0,0,0,1,Canoeing,IRL,F
2,2004,0,0,0,0,1,Canoeing,IRL,F
3,2012,0,0,0,0,1,Canoeing,IRL,F
0,1972,0,0,0,0,4,Canoeing,IRL,M
1,1976,0,0,0,0,8,Canoeing,IRL,M
2,1980,0,0,0,0,2,Canoeing,IRL,M
3,1984,0,0,0,0,2,Canoeing,IRL,M
4,1988,0,0,0,0,5,Canoeing,IRL,M
5,1992,0,0,0,0,8,Canoeing,IRL,M
6,1996,0,0,0,0,8,Canoeing,IRL,M
7,2000,0,0,0,0,3,Canoeing,IRL,M
8,2004,0,0,0,0,1,Canoeing,IRL,M
9,2008,0,0,0,0,1,Canoeing,IRL,M
10,2012,0,0,0,0,2,Canoeing,IRL,M
0,1996,0,0,0,0,1,Canoeing,ISR,F
1,2000,0,0,0,0,2,Canoeing,ISR,F
2,2004,0,0,0,0,1,Canoeing,ISR,F
0,1984,0,0,0,0,1,Canoeing,ISR,M
1,2000,1,0,0,1,5,Canoeing,ISR,M
2,2004,0,0,0,0,2,Canoeing,ISR,M
3,2008,0,0,0,0,2,Canoeing,ISR,M
0,1960,0,0,0,0,3,Canoeing,ITA,F
1,1980,0,0,0,0,2,Canoeing,ITA,F
2,1992,0,0,0,0,6,Canoeing,ITA,F
3,1996,1,0,0,1,2,Canoeing,ITA,F
4,2000,1,1,0,0,1,Canoeing,ITA,F
5,2004,1,0,1,0,1,Canoeing,ITA,F
6,2008,1,0,1,0,7,Canoeing,ITA,F
7,2012,0,0,0,0,3,Canoeing,ITA,F
8,2016,0,0,0,0,1,Canoeing,ITA,F
0,1936,0,0,0,0,2,Canoeing,ITA,M
1,1952,0,0,0,0,6,Canoeing,ITA,M
2,1960,2,0,2,0,8,Canoeing,ITA,M
3,1964,0,0,0,0,6,Canoeing,ITA,M
4,1968,0,0,0,0,2,Canoeing,ITA,M
5,1972,0,0,0,0,10,Canoeing,ITA,M
6,1976,0,0,0,0,16,Canoeing,ITA,M
7,1980,0,0,0,0,5,Canoeing,ITA,M
8,1984,0,0,0,0,10,Canoeing,ITA,M
9,1988,0,0,0,0,8,Canoeing,ITA,M
10,1992,3,1,0,2,10,Canoeing,ITA,M
11,1996,6,3,3,0,9,Canoeing,ITA,M
12,2000,3,2,0,1,5,Canoeing,ITA,M
13,2004,2,0,2,0,7,Canoeing,ITA,M
14,2008,2,0,0,2,10,Canoeing,ITA,M
15,2012,1,1,0,0,4,Canoeing,ITA,M
16,2016,0,0,0,0,13,Canoeing,ITA,M
0,1964,0,0,0,0,2,Canoeing,JPN,F
1,1988,0,0,0,0,2,Canoeing,JPN,F
2,1992,0,0,0,0,3,Canoeing,JPN,F
3,1996,0,0,0,0,8,Canoeing,JPN,F
4,2000,0,0,0,0,1,Canoeing,JPN,F
5,2004,0,0,0,0,7,Canoeing,JPN,F
6,2008,0,0,0,0,8,Canoeing,JPN,F
7,2012,0,0,0,0,4,Canoeing,JPN,F
8,2016,0,0,0,0,1,Canoeing,JPN,F
0,1964,0,0,0,0,10,Canoeing,JPN,M
1,1968,0,0,0,0,3,Canoeing,JPN,M
2,1972,0,0,0,0,5,Canoeing,JPN,M
3,1976,0,0,0,0,6,Canoeing,JPN,M
4,1984,0,0,0,0,10,Canoeing,JPN,M
5,1988,0,0,0,0,6,Canoeing,JPN,M
6,1992,0,0,0,0,5,Canoeing,JPN,M
7,1996,0,0,0,0,2,Canoeing,JPN,M
8,2000,0,0,0,0,1,Canoeing,JPN,M
9,2008,0,0,0,0,4,Canoeing,JPN,M
10,2012,0,0,0,0,6,Canoeing,JPN,M
11,2016,1,0,0,1,3,Canoeing,JPN,M
0,2004,0,0,0,0,3,Canoeing,KAZ,F
1,2008,0,0,0,0,1,Canoeing,KAZ,F
2,2012,0,0,0,0,2,Canoeing,KAZ,F
3,2016,0,0,0,0,9,Canoeing,KAZ,F
0,1996,0,0,0,0,16,Canoeing,KAZ,M
1,2000,0,0,0,0,8,Canoeing,KAZ,M
2,2004,0,0,0,0,2,Canoeing,KAZ,M
3,2008,0,0,0,0,8,Canoeing,KAZ,M
4,2012,0,0,0,0,7,Canoeing,KAZ,M
5,2016,0,0,0,0,12,Canoeing,KAZ,M
0,1996,0,0,0,0,4,Canoeing,KGZ,M
0,1988,0,0,0,0,7,Canoeing,KOR,F
1,2008,0,0,0,0,1,Canoeing,KOR,F
0,1984,0,0,0,0,3,Canoeing,KOR,M
1,1988,0,0,0,0,16,Canoeing,KOR,M
2,1992,0,0,0,0,12,Canoeing,KOR,M
3,1996,0,0,0,0,4,Canoeing,KOR,M
4,2000,0,0,0,0,2,Canoeing,KOR,M
5,2016,0,0,0,0,3,Canoeing,KOR,M
0,1992,0,0,0,0,1,Canoeing,LAT,F
1,1996,0,0,0,0,1,Canoeing,LAT,F
0,1992,1,0,1,0,1,Canoeing,LAT,M
1,1996,1,0,1,0,1,Canoeing,LAT,M
2,2000,0,0,0,0,1,Canoeing,LAT,M
3,2004,0,0,0,0,2,Canoeing,LAT,M
4,2008,0,0,0,0,6,Canoeing,LAT,M
5,2012,0,0,0,0,2,Canoeing,LAT,M
6,2016,0,0,0,0,3,Canoeing,LAT,M
0,2016,0,0,0,0,1,Canoeing,LIB,M
0,1992,0,0,0,0,2,Canoeing,LTU,M
1,1996,0,0,0,0,4,Canoeing,LTU,M
2,2000,0,0,0,0,4,Canoeing,LTU,M
3,2004,0,0,0,0,4,Canoeing,LTU,M
4,2008,0,0,0,0,4,Canoeing,LTU,M
5,2012,1,0,1,0,1,Canoeing,LTU,M
6,2016,2,0,0,2,4,Canoeing,LTU,M
0,1936,0,0,0,0,4,Canoeing,LUX,M
1,1948,0,0,0,0,6,Canoeing,LUX,M
2,1952,0,0,0,0,6,Canoeing,LUX,M
3,1960,0,0,0,0,3,Canoeing,LUX,M
0,2012,0,0,0,0,1,Canoeing,MAR,F
1,2016,0,0,0,0,1,Canoeing,MAR,F
0,2000,0,0,0,0,1,Canoeing,MAR,M
0,1996,0,0,0,0,1,Canoeing,MAS,M
0,1996,2,0,2,0,4,Canoeing,MDA,M
1,2016,0,0,0,0,2,Canoeing,MDA,M
0,1968,0,0,0,0,3,Canoeing,MEX,F
1,1996,0,0,0,0,7,Canoeing,MEX,F
0,1968,0,0,0,0,10,Canoeing,MEX,M
1,1972,0,0,0,0,10,Canoeing,MEX,M
2,1976,0,0,0,0,8,Canoeing,MEX,M
3,1984,0,0,0,0,4,Canoeing,MEX,M
4,1992,0,0,0,0,6,Canoeing,MEX,M
5,1996,0,0,0,0,2,Canoeing,MEX,M
6,2000,0,0,0,0,4,Canoeing,MEX,M
7,2008,0,0,0,0,7,Canoeing,MEX,M
8,2012,0,0,0,0,2,Canoeing,MEX,M
9,2016,0,0,0,0,1,Canoeing,MEX,M
0,1996,0,0,0,0,1,Canoeing,MKD,F
0,1996,0,0,0,0,2,Canoeing,MKD,M
1,2000,0,0,0,0,1,Canoeing,MKD,M
2,2004,0,0,0,0,1,Canoeing,MKD,M
3,2008,0,0,0,0,1,Canoeing,MKD,M
0,2016,0,0,0,0,4,Canoeing,MOZ,M
0,2008,0,0,0,0,2,Canoeing,MYA,M
0,1948,1,0,1,0,0,Canoeing,NED,F
1,1952,0,0,0,0,1,Canoeing,NED,F
2,1968,0,0,0,0,3,Canoeing,NED,F
3,1972,1,0,1,0,2,Canoeing,NED,F
4,1980,0,0,0,0,2,Canoeing,NED,F
